mes_num,sen_mes,cos_mes,lag_1,pct_change,rolling_3,diff_1,tendencia,entidad_enc,real,pred,mes,entidad,error
8,-0.8660254037844385,-0.5000000000000004,866.0,0.1385681293302541,0.0,120.0,1,1349.6816995364838,986,993.5520496031746,Agosto,Hidalgo,7.552049603174623
5,0.49999999999999994,-0.8660254037844387,1735.0,-0.08991354466858792,1611.6666666666667,-156.0,8,1478.3513869425597,1579,1518.5186403318899,Mayo,Veracruz de Ignacio de la Llave,-60.481359668110144
4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0,1338.764502505705,929,910.5037678571426,Abril,Aguascalientes,-18.496232142857366
4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0,1236.1022063078972,604,471.95679563492064,Abril,Sonora,-132.04320436507936
4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0,1244.1493777659207,286,367.8723672438672,Abril,Durango,81.87236724386719
8,-0.8660254037844385,-0.5000000000000004,473.0,-0.006342494714587699,0.0,-3.0,1,1230.144757162619,470,437.3731507936507,Agosto,Baja California Sur,-32.62684920634928
8,-0.8660254037844385,-0.5000000000000004,689.0,0.22496371552975325,0.0,155.0,1,1295.4307887295615,844,838.0868928571429,Agosto,Tamaulipas,-5.913107142857143
6,1.2246467991473532e-16,-1.0,6082.0,0.019401512660309095,6199.0,118.0,6,2409.714875730664,6200,6334.4108717532445,Junio,Ciudad de México,134.41087175324446
7,-0.4999999999999997,-0.8660254037844388,442.0,0.02714932126696823,457.0,12.0,5,1210.685717894838,454,461.95624999999995,Julio,Guerrero,7.9562499999999545
1,0.49999999999999994,0.8660254037844387,848.0,-0.054245283018867885,831.3333333333334,-46.0,3,1295.4307887295615,802,829.5114455266956,Enero,Tamaulipas,27.51144552669564
8,-0.8660254037844385,-0.5000000000000004,1178.0,0.1578947368421053,0.0,186.0,1,1409.9266645020425,1364,1307.1389487734486,Agosto,Morelos,-56.86105122655135
